bedrooms,bathrooms,sqft,lot_size,age,location,property_type,garage,price
4,3,2659,7987,120,Waterfront,Single Family,Attached,2000000
4,3,1900,8019,20,Waterfront,Single Family,Attached,2000000
3,1,1313,4650,95,Waterfront,Single Family,Attached,1975000
2,2,1200,2626,25,Waterfront,Condo,Carport,1300000
3,1,1475,3660,50,Waterfront,Single Family,Attached,1390000
4,3,1900,8073,20,Waterfront,Single Family,Attached,2000000
4,3,2799,5242,120,Waterfront,Single Family,Carport,2000000
2,2,1421,3541,85,Waterfront,Condo,Attached,1300000
3,2,2422,4424,28,Waterfront,Townhouse,Attached,1725000
3,2,1550,4844,20,Waterfront,Single Family,Attached,2000000
4,1,1900,7879,20,Waterfront,Single Family,Attached,2000000
3,2,2250,4984,55,Waterfront,Single Family,Attached,2000000
6,3,2600,1000,20,Waterfront,Single Family,Attached,2000000
2,1,797,1000,65,Waterfront,Condo,Carport,800000
3,2,1550,3789,20,Waterfront,Townhouse,Attached,1750000
4,2,1453,6620,105,Waterfront,Single Family,Attached,1761000
3,2,1550,6329,20,Waterfront,Single Family,Attached,2000000
3,2,1841,1000,32,Waterfront,Single Family,Attached,1302500
3,1,1550,1000,20,Waterfront,Single Family,None,1900000
4,3,3670,5479,20,Waterfront,Single Family,Carport,2000000
2,1,990,2497,55,Waterfront,Condo,Attached,892500
3,2,2120,5920,115,Waterfront,Single Family,Carport,2000000
4,2,3660,7642,25,Waterfront,Single Family,Attached,2000000
2,2,1200,7492,20,Waterfront,Single Family,Attached,1910000
3,2,1550,1000,20,Waterfront,Townhouse,Attached,1850000
3,1,1550,1000,20,Waterfront,Townhouse,Carport,1067000
3,2,1550,3175,20,Waterfront,Single Family,Attached,1865000
2,2,797,1000,12,Waterfront,Condo,Carport,620000
2,1,1200,6577,20,Waterfront,Condo,Carport,985000
3,2,1755,3714,25,Waterfront,Townhouse,Attached,1475000
2,2,1200,1249,20,Waterfront,Single Family,None,502000
2,1,1200,1000,73,Waterfront,Condo,Carport,700000
3,2,1550,8988,115,Waterfront,Single Family,Attached,2000000
2,1,1200,1000,75,Waterfront,Condo,Carport,590000
3,2,1195,1000,45,Waterfront,Single Family,Attached,1650000
5,2,2174,7050,100,Waterfront,Single Family,Attached,1562500
3,3,2820,4284,13,Waterfront,Single Family,Attached,2000000
4,3,1900,4887,20,Waterfront,Single Family,Attached,2000000
2,1,1200,3907,20,Waterfront,Townhouse,Attached,960000
4,3,3918,6932,25,Waterfront,Single Family,Attached,2000000
4,3,1900,6415,20,Waterfront,Single Family,Attached,2000000
3,2,1550,3531,20,Waterfront,Condo,Attached,1602000
2,2,1200,1000,20,Waterfront,Condo,Attached,1300000
2,1,915,1000,90,Waterfront,Condo,Attached,1100000
3,2,1539,3810,115,Waterfront,Single Family,Carport,1650000
2,1,1200,3423,20,Waterfront,Single Family,Attached,1102000
2,1,1200,1000,20,Waterfront,Condo,Carport,575000
2,1,1195,3789,105,Waterfront,Single Family,None,1570000
3,2,1550,1000,14,Waterfront,Townhouse,Attached,1411000
5,3,2379,11550,20,Waterfront,Single Family,Attached,2000000
3,2,1270,4349,72,Waterfront,Single Family,Carport,1785000
2,2,1200,4349,20,Waterfront,Single Family,Attached,1550000
3,2,1830,2960,34,Waterfront,Single Family,Attached,1875000
4,2,1900,6889,20,Waterfront,Single Family,Attached,2000000
3,1,1249,2982,75,Waterfront,Condo,Attached,1266000
3,1,1550,1281,20,Waterfront,Condo,Attached,826000
5,3,4553,9634,87,Waterfront,Single Family,Attached,2000000
2,2,1200,1270,55,Waterfront,Condo,Carport,900000
3,2,1550,3477,30,Waterfront,Townhouse,Attached,1962000
4,3,3627,6082,35,Waterfront,Single Family,Attached,2000000
1,1,500,1000,60,Waterfront,Condo,Carport,375000
2,1,861,1000,105,Waterfront,Condo,Carport,756000
2,1,1200,1410,20,Waterfront,Condo,Carport,800000
5,5,2357,5942,105,Waterfront,Single Family,Attached,2000000
3,2,1550,4758,20,Waterfront,Single Family,Carport,1500000
2,1,1200,1313,20,Waterfront,Condo,Carport,905500
4,2,3251,5888,25,Waterfront,Single Family,Attached,2000000
3,2,1550,3864,20,Waterfront,Single Family,Carport,2000000
3,1,1292,4585,90,Waterfront,Single Family,Attached,1385000
2,1,1200,4090,67,Waterfront,Single Family,Carport,1601000
5,5,4510,7373,20,Waterfront,Single Family,Attached,2000000
3,2,1550,5199,20,Waterfront,Townhouse,Attached,1762000
3,3,1550,5188,20,Waterfront,Single Family,Attached,2000000
2,1,807,1152,75,Waterfront,Condo,Carport,858000
3,2,1550,3369,20,Waterfront,Townhouse,Carport,1427000
3,3,1550,3348,20,Waterfront,Townhouse,Attached,2000000
4,2,2465,6125,115,Waterfront,Single Family,Attached,2000000
4,3,3283,16921,120,Waterfront,Single Family,Attached,2000000
3,1,1550,4036,95,Waterfront,Single Family,Carport,1410000
4,2,2949,6512,105,Waterfront,Single Family,Attached,2000000
4,2,3584,7879,100,Waterfront,Single Family,Attached,2000000
3,1,1550,1000,20,Waterfront,Condo,Carport,1005000
4,2,3348,9063,35,Waterfront,Single Family,Attached,2000000
2,1,807,1000,20,Waterfront,Condo,Carport,610000
3,1,1550,1485,60,Waterfront,Condo,Carport,880000
3,1,1550,1141,50,Waterfront,Condo,Carport,737000
2,1,1776,4424,115,Waterfront,Single Family,Attached,1532000
3,2,1550,1000,20,Waterfront,Condo,None,1250000
3,2,1550,1000,20,Waterfront,Condo,Carport,835000
3,2,1550,6340,20,Waterfront,Single Family,Attached,2000000
4,2,1900,5070,20,Waterfront,Single Family,Attached,2000000
2,2,1200,2164,20,Waterfront,Townhouse,Attached,1230000
3,2,1550,5059,20,Waterfront,Single Family,Attached,2000000
2,1,500,1345,16,Waterfront,Townhouse,Attached,1037000
4,4,3434,6222,30,Waterfront,Single Family,Attached,2000000
4,2,2110,4650,25,Waterfront,Townhouse,Attached,1630000
2,1,1200,1000,20,Waterfront,Single Family,Attached,1701000
2,1,1200,1000,20,Waterfront,Condo,Attached,760000
4,2,2648,9128,50,Waterfront,Single Family,Attached,2000000
2,1,1200,1000,20,Waterfront,Condo,Carport,850000
1,1,797,1000,45,Waterfront,Condo,Carport,671000
4,2,3025,2476,13,Waterfront,Townhouse,Attached,2000000
3,1,1733,7093,83,Waterfront,Single Family,Carport,2000000
3,2,1550,2486,20,Waterfront,Condo,Attached,1620000
3,2,1550,10839,20,Waterfront,Single Family,None,2000000
4,2,1900,7395,20,Waterfront,Single Family,Attached,2000000
3,3,1550,6286,20,Waterfront,Single Family,Attached,2000000
3,2,1550,5328,20,Waterfront,Townhouse,Attached,1425000
4,1,1528,7481,55,Waterfront,Single Family,Attached,2000000
2,2,1184,3014,32,Waterfront,Condo,Carport,1352500
4,2,1900,3940,20,Waterfront,Single Family,Attached,2000000
4,2,3272,11248,95,Waterfront,Single Family,Attached,2000000
3,2,1550,3003,55,Waterfront,Single Family,Attached,1171000
2,2,1200,2874,20,Waterfront,Townhouse,Carport,1400000
3,2,1550,2863,25,Waterfront,Single Family,Attached,1600000
3,2,2099,5909,35,Waterfront,Single Family,Carport,1500000
4,2,2583,7341,65,Waterfront,Single Family,Attached,1940000
4,2,2885,6641,85,Waterfront,Single Family,Attached,1850000
3,1,1259,3541,95,Waterfront,Single Family,Carport,930000
4,3,2293,6652,17,Waterfront,Single Family,Attached,1310000
2,1,1200,4768,20,Waterfront,Single Family,Attached,1250000
4,2,1970,7255,75,Waterfront,Single Family,Attached,2000000
2,1,1200,1000,20,Waterfront,Condo,Carport,700000
2,1,1200,3283,55,Waterfront,Condo,Attached,750000
3,2,1550,4209,20,Waterfront,Townhouse,Attached,1302500
2,1,1356,6986,85,Waterfront,Single Family,Carport,1445000
3,1,1550,2659,20,Waterfront,Single Family,Carport,980000
4,2,1900,6426,20,Waterfront,Single Family,Attached,1495000
4,3,6394,6394,52,Waterfront,Single Family,Attached,1825000
4,2,2949,10699,90,Waterfront,Single Family,Carport,1700000
4,3,2530,8869,95,Waterfront,Single Family,Attached,1400000
3,2,1550,3358,35,Waterfront,Single Family,Attached,1075000
3,2,1550,7384,77,Waterfront,Single Family,Attached,1860000
3,2,2454,3391,25,Waterfront,Single Family,Attached,1500000
3,2,1550,1701,20,Waterfront,Townhouse,Attached,870000
4,2,1900,7395,20,Waterfront,Single Family,Attached,2000000
3,1,1959,6598,75,Waterfront,Single Family,Attached,1400000
3,2,1550,6663,20,Waterfront,Single Family,Attached,1300000
5,2,2637,6631,80,Waterfront,Single Family,Attached,1600000
4,3,1281,6835,90,Waterfront,Single Family,Attached,1780000
5,2,2906,8342,105,Waterfront,Single Family,Attached,1200000
2,1,969,1206,65,Waterfront,Condo,Carport,775000
3,2,1539,7502,100,Waterfront,Single Family,Attached,1480000
5,4,2250,6889,75,Waterfront,Single Family,Attached,2000000
3,3,2626,5177,13,Waterfront,Single Family,Attached,1590000
5,2,2949,10753,53,Waterfront,Single Family,Attached,2000000
4,2,1900,6426,20,Waterfront,Single Family,Attached,1580000
4,3,1900,3251,20,Waterfront,Townhouse,Attached,1100000
2,1,1410,6071,77,Waterfront,Single Family,Attached,1000000
5,3,2250,6824,20,Waterfront,Single Family,Attached,2000000
4,3,2960,7621,75,Waterfront,Single Family,Attached,1700000
3,1,1550,5274,20,Waterfront,Single Family,Carport,1405000
3,1,1550,7115,105,Waterfront,Single Family,Attached,1290000
5,5,2928,16802,56,Waterfront,Single Family,Attached,2000000
3,2,500,3272,35,Waterfront,Condo,Attached,880000
4,1,2185,10764,65,Waterfront,Single Family,Carport,1920000
3,2,1302,4316,99,Waterfront,Single Family,Attached,1301000
4,3,1900,9666,20,Waterfront,Townhouse,Attached,2000000
5,3,2508,9849,65,Waterfront,Single Family,Attached,2000000
5,2,2562,6943,55,Waterfront,Single Family,None,1915000
5,3,2282,6437,77,Waterfront,Single Family,Attached,1650000
2,2,1905,6491,105,Waterfront,Single Family,Carport,1530000
2,1,1200,3735,20,Waterfront,Single Family,Attached,805000
4,2,2508,7298,85,Waterfront,Single Family,Attached,2000000
5,3,3724,5931,9,Waterfront,Single Family,Attached,2000000
2,1,1001,2034,45,Waterfront,Condo,Attached,905000
3,1,1625,8170,95,Waterfront,Single Family,Attached,1355000
2,1,1561,6501,75,Waterfront,Single Family,Attached,1845000
5,3,2250,6469,20,Waterfront,Single Family,Attached,1760000
5,3,3326,7201,55,Waterfront,Single Family,Attached,2000000
3,2,1550,7298,20,Waterfront,Single Family,Attached,1620000
3,2,1550,1000,21,Waterfront,Townhouse,Attached,940000
4,3,2454,4682,110,Waterfront,Single Family,Attached,1710000
3,1,1550,7567,20,Waterfront,Single Family,Carport,1800000
3,3,1550,5791,20,Waterfront,Single Family,Attached,1706000
3,2,2390,3627,25,Waterfront,Townhouse,Attached,1300000
2,1,1200,1690,20,Waterfront,Condo,Attached,770000
4,2,3078,7040,25,Waterfront,Single Family,Attached,2000000
3,2,1550,5231,20,Waterfront,Single Family,Attached,1400000
3,2,1550,2540,20,Waterfront,Single Family,Attached,900000
4,3,2422,6609,55,Waterfront,Single Family,Attached,2000000
4,3,1900,8590,20,Waterfront,Single Family,Attached,1725000
4,2,1900,1000,20,Waterfront,Single Family,Attached,1755000
4,2,1900,5447,28,Waterfront,Single Family,Attached,1650000
2,2,1200,7276,20,Waterfront,Single Family,Attached,1720000
4,2,1900,7879,20,Waterfront,Single Family,Attached,1815000
5,3,2250,5673,20,Waterfront,Single Family,Attached,1450000
2,1,646,1787,13,Waterfront,Townhouse,Carport,681000
2,2,1200,5339,20,Waterfront,Townhouse,Attached,1511000
4,3,2691,3251,7,Waterfront,Single Family,Attached,1310000
1,1,614,1000,75,Waterfront,Condo,Carport,340000
3,2,1550,3488,26,Waterfront,Single Family,Attached,1537000
3,1,1550,4521,20,Waterfront,Single Family,Carport,1100000
2,2,1200,5802,20,Waterfront,Single Family,Attached,994000
4,1,1900,6351,20,Waterfront,Single Family,Attached,1447000
2,1,710,1000,65,Waterfront,Condo,Carport,692000
4,2,500,3391,25,Waterfront,Townhouse,Attached,1367000
2,1,1087,1841,55,Waterfront,Condo,Carport,903000
4,4,3627,5479,65,Waterfront,Single Family,Attached,2000000
2,1,1259,7104,95,Waterfront,Single Family,Attached,1813000
5,2,3100,7309,75,Waterfront,Single Family,Attached,1655000
3,2,2077,3197,45,Waterfront,Townhouse,Attached,1230000
4,1,1615,7061,95,Waterfront,Single Family,Attached,1389000
2,1,1200,2443,45,Waterfront,Condo,Carport,750000
3,2,1550,2443,27,Waterfront,Condo,Carport,1245000
4,2,1399,8148,95,Waterfront,Single Family,Attached,2000000
3,2,1550,2659,20,Waterfront,Townhouse,Attached,1420000
2,1,1200,13272,65,Waterfront,Condo,Carport,563000
2,1,1410,2874,35,Waterfront,Townhouse,Carport,1014000
2,1,1200,1000,55,Suburbs,Condo,Attached,428000
2,1,1163,2422,120,Historic,Single Family,None,1026000
4,3,1001,2562,115,Historic,Single Family,Carport,1802500
4,3,2250,3929,120,Historic,Single Family,Carport,1500000
4,2,3089,9160,85,Historic,Single Family,Attached,2000000
3,1,1550,2842,20,Suburbs,Single Family,Attached,1050000
2,1,710,1000,25,Suburbs,Condo,Carport,410000
1,1,500,1000,55,Suburbs,Condo,Carport,272500
3,3,1076,1000,9,New Development,Single Family,Carport,680000
2,1,657,1000,55,Suburbs,Condo,Carport,400000
3,1,1033,1830,115,Historic,Single Family,None,950000
3,2,1550,4585,120,Historic,Single Family,Attached,1310000
4,2,1044,1023,20,Suburbs,Townhouse,Carport,860000
2,1,969,1927,120,Historic,Single Family,Carport,845500
2,1,1200,1948,115,Historic,Single Family,Carport,860000
2,1,840,1000,16,Suburbs,Townhouse,Carport,605000
3,1,1550,3488,95,Historic,Single Family,Carport,1055000
2,1,657,1000,50,Suburbs,Condo,Carport,445000
2,1,915,1076,55,Suburbs,Condo,Carport,659500
2,1,807,1000,14,Suburbs,Condo,Carport,600000
3,2,1550,1000,20,Suburbs,Condo,Attached,627000
4,2,1900,3477,20,Suburbs,Single Family,Attached,1450000
3,1,1550,4413,20,Suburbs,Single Family,Attached,990000
4,1,1496,2842,120,Historic,Single Family,None,1115000
3,1,980,2992,115,Historic,Single Family,Carport,1125000
3,1,1044,2465,95,Historic,Single Family,Carport,855000
2,1,1200,2314,20,Suburbs,Single Family,Carport,910000
3,2,1507,2002,9,New Development,Townhouse,Carport,940000
2,1,1200,1647,120,Historic,Single Family,None,1100000
2,2,947,1270,12,Suburbs,Townhouse,Carport,750000
2,1,1163,3391,115,Historic,Single Family,Carport,1056000
2,2,500,1000,20,Suburbs,Townhouse,Carport,620000
3,2,1636,1313,25,Suburbs,Condo,Carport,880000
3,1,1356,3563,120,Historic,Single Family,None,1222500
3,2,1550,1905,20,Suburbs,Single Family,Attached,810000
2,1,1200,1582,20,Suburbs,Single Family,Carport,1105000
2,1,1200,4144,100,Historic,Single Family,Carport,1260000
3,2,1184,3520,18,Suburbs,Townhouse,Attached,955000
1,1,850,1000,20,Suburbs,Townhouse,None,895000
2,1,1200,3240,20,Suburbs,Single Family,Attached,1094000
3,1,1550,4715,20,Suburbs,Single Family,Carport,1135000
2,1,1200,1604,20,Suburbs,Single Family,Carport,792000
2,1,700,1227,55,Suburbs,Condo,Carport,587000
3,1,1302,2766,90,Historic,Single Family,None,1060000
2,1,1200,2002,20,Suburbs,Single Family,Carport,840000
2,1,1001,2142,120,Historic,Single Family,Carport,890000
4,1,1900,4478,20,Suburbs,Single Family,Carport,1358000
2,1,1200,2250,20,Suburbs,Single Family,None,840000
2,2,1076,1000,23,Suburbs,Townhouse,Carport,685000
2,1,1200,8267,55,Suburbs,Condo,Carport,600000
3,1,1550,3380,20,Suburbs,Single Family,Carport,905000
3,2,1744,2583,20,Suburbs,Single Family,Carport,976000
3,2,1206,1000,120,Historic,Townhouse,Carport,641000
2,1,936,1636,115,Historic,Single Family,None,770000
1,1,549,1000,55,Suburbs,Condo,Carport,279500
4,2,1938,2917,120,Historic,Single Family,Attached,1800000
4,1,1625,3983,85,Historic,Single Family,Carport,1350000
4,2,1679,3025,105,Historic,Single Family,Carport,1320000
3,1,1399,2260,120,Historic,Single Family,Carport,825000
3,1,1550,3789,120,Historic,Single Family,Attached,860000
2,1,1200,3434,20,Suburbs,Single Family,Carport,830000
2,1,1200,2153,20,Suburbs,Single Family,Attached,936000
2,1,1076,2325,115,Historic,Single Family,Carport,1261000
3,1,1130,2390,120,Historic,Single Family,Attached,1045000
3,1,915,1000,25,Suburbs,Condo,Carport,1044000
3,1,1356,2573,115,Historic,Single Family,Carport,1050000
3,2,1636,5059,105,Historic,Single Family,Attached,1691500
2,1,1163,3348,95,Historic,Single Family,None,1075000
2,1,1200,1453,50,Suburbs,Condo,Carport,620000
2,1,861,12271,15,Suburbs,Condo,Carport,501000
3,1,1055,6060,65,Suburbs,Single Family,Attached,1260000
3,1,1518,5328,105,Historic,Single Family,Attached,1650000
2,1,614,1000,55,Suburbs,Condo,Carport,601000
1,1,850,3552,20,Suburbs,Single Family,Attached,800000
2,1,926,4876,105,Historic,Single Family,None,1015000
1,1,1227,1000,95,Historic,Townhouse,Carport,625000
3,2,2099,1000,80,Historic,Single Family,Carport,1700000
3,2,1528,1066,20,Suburbs,Townhouse,Carport,815000
2,1,614,1000,52,Suburbs,Condo,Carport,435000
2,1,1200,2788,20,Suburbs,Single Family,Carport,890000
3,1,1550,6588,20,Suburbs,Single Family,Attached,1815000
5,2,2863,5974,120,Historic,Single Family,Attached,2000000
2,1,947,3208,115,Historic,Single Family,Carport,860000
2,1,710,11625,65,Suburbs,Condo,Carport,491000
3,2,1550,2088,20,Suburbs,Single Family,Carport,990000
2,1,1200,1000,20,Suburbs,Condo,Carport,350000
2,1,1200,2314,120,Historic,Single Family,Carport,871000
3,1,958,4133,85,Historic,Single Family,Attached,985000
3,1,1744,5199,120,Historic,Single Family,Carport,1250000
2,1,1200,1000,20,Suburbs,Single Family,Carport,542000
3,2,1206,1000,120,Historic,Townhouse,Carport,641000
4,2,1900,4209,20,Suburbs,Single Family,Attached,1395000
3,1,1119,1981,120,Historic,Single Family,Carport,860000
1,1,850,1000,20,Suburbs,Condo,Carport,440000
2,1,1200,1647,20,Suburbs,Single Family,None,860000
3,1,1550,3251,20,Suburbs,Single Family,None,835000
2,1,732,1733,115,Historic,Single Family,Carport,705000
2,1,1200,1475,20,Suburbs,Single Family,None,800000
3,1,1259,2842,110,Historic,Single Family,Carport,880000
3,1,1550,3983,20,Suburbs,Single Family,Carport,1000000
2,2,1130,1905,25,Suburbs,Townhouse,Carport,754000
2,1,1200,14294,120,Historic,Single Family,None,916000
2,1,797,1000,21,Suburbs,Condo,Carport,590000
2,1,710,1000,75,Historic,Condo,Carport,575000
2,1,1200,3003,20,Suburbs,Single Family,Carport,1020000
3,1,1615,3498,105,Historic,Single Family,None,1510000
2,2,936,1679,18,Suburbs,Townhouse,Carport,801000
3,2,1356,50000,14,Suburbs,Townhouse,Attached,820000
1,1,500,5813,55,Suburbs,Condo,Carport,370000
3,1,1119,3068,120,Historic,Single Family,None,1170000
3,1,1389,4478,105,Historic,Single Family,Carport,1790000
3,2,1270,1184,25,Suburbs,Townhouse,Carport,640000
3,1,1550,4478,20,Suburbs,Single Family,None,820000
4,2,2228,7072,67,Suburbs,Single Family,Attached,1875000
3,1,10000,3692,100,Historic,Single Family,Carport,1053000
2,1,1195,1000,13,Suburbs,Townhouse,Carport,705000
1,1,850,1000,20,Suburbs,Condo,Carport,240000
4,1,500,3434,20,Suburbs,Single Family,Attached,1175000
4,1,1367,3907,105,Historic,Single Family,None,1217000
3,1,1281,3315,82,Historic,Single Family,Attached,1020000
2,1,1200,1000,15,Suburbs,Condo,Carport,1180000
3,1,1421,3401,115,Historic,Single Family,Carport,1340000
4,2,2303,4951,109,Historic,Single Family,Carport,1410000
3,1,1356,3724,120,Historic,Single Family,Carport,1550000
3,2,1313,50000,15,Suburbs,Single Family,Carport,740000
3,1,1550,10721,20,Suburbs,Single Family,Attached,947000
2,1,958,1000,23,Suburbs,Condo,Attached,592500
3,1,1550,5167,20,Suburbs,Single Family,Carport,1317000
1,1,581,1000,60,Suburbs,Condo,Carport,370000
2,1,1292,2142,120,Historic,Single Family,Carport,765000
1,1,883,1582,120,Historic,Single Family,Carport,772000
3,2,1399,3014,120,Historic,Single Family,Carport,1210000
4,2,2142,3810,115,Historic,Single Family,Carport,1755000
2,1,1200,1959,20,Suburbs,Single Family,Carport,1073000
3,2,1550,3401,20,Suburbs,Single Family,Carport,1080000
2,1,1109,2648,115,Historic,Single Family,Attached,945000
2,1,1690,1711,95,Historic,Single Family,Carport,755000
2,1,743,1000,65,Suburbs,Condo,Carport,521500
2,1,1200,1000,45,Suburbs,Condo,Carport,320000
3,1,1281,1000,105,Historic,Single Family,Carport,1190000
3,1,1550,3853,20,Suburbs,Single Family,None,942000
2,1,646,6071,55,Suburbs,Condo,Carport,471000
2,1,1200,6114,20,Suburbs,Condo,Attached,473000
3,1,1550,6458,20,Suburbs,Single Family,Carport,1200000
4,2,1900,3218,20,Suburbs,Single Family,Attached,930000
1,1,500,1000,25,Suburbs,Condo,Carport,265000
3,1,1001,2368,95,Historic,Single Family,None,955000
5,2,3455,5490,28,Suburbs,Single Family,Attached,1350000
2,1,915,1000,55,Suburbs,Townhouse,Carport,380000
1,1,500,1000,65,Suburbs,Condo,None,300000
3,1,1023,3757,75,Historic,Single Family,Attached,810000
2,1,1200,1000,55,Suburbs,Condo,Carport,380000
3,1,1281,2960,90,Historic,Single Family,None,793000
2,1,689,1000,65,Suburbs,Condo,Carport,400000
2,1,753,1000,12,Suburbs,Condo,Carport,400500
3,2,1668,2820,15,Suburbs,Townhouse,Attached,797500
2,1,1200,1000,23,Suburbs,Condo,Carport,435000
3,1,1550,5393,20,Suburbs,Single Family,Attached,920000
3,1,1550,5511,20,Suburbs,Single Family,Attached,1172000
3,1,1453,3918,120,Historic,Single Family,Attached,1300000
3,1,1087,3800,95,Historic,Single Family,Attached,1330000
3,1,1550,4435,91,Historic,Single Family,Carport,1245000
2,1,1200,4413,20,Suburbs,Single Family,Carport,900000
7,3,3089,4811,43,Suburbs,Single Family,Carport,1205000
2,1,667,1000,55,Suburbs,Condo,Carport,380000
3,1,1808,4424,90,Historic,Single Family,Carport,1095000
2,1,883,1000,55,Suburbs,Townhouse,Carport,680000
2,1,936,1905,115,Historic,Single Family,Carport,711000
2,1,1200,6200,20,Suburbs,Single Family,Attached,910000
3,1,1550,6544,20,Suburbs,Single Family,Attached,1186000
2,1,807,1000,55,Suburbs,Condo,Carport,500000
2,1,1200,3057,99,Historic,Single Family,Carport,1005000
2,1,667,1000,55,Suburbs,Condo,Carport,385000
2,1,1200,1000,20,Suburbs,Condo,Carport,656000
2,1,635,22819,65,Suburbs,Condo,Carport,370000
1,1,500,1000,55,Suburbs,Condo,Carport,320000
4,1,1900,4133,20,Suburbs,Single Family,Carport,988000
2,1,1200,1000,20,Suburbs,Condo,Carport,400000
1,1,500,1000,55,Suburbs,Condo,Carport,330000
5,2,2077,5952,105,Historic,Single Family,Attached,1200000
2,1,710,5393,65,Suburbs,Condo,Carport,537000
3,1,1518,7718,75,Historic,Single Family,Attached,910000
1,1,500,1000,55,Suburbs,Condo,Carport,285000
3,1,1776,6189,95,Historic,Single Family,Carport,921500
3,1,1550,5436,20,Suburbs,Single Family,Attached,995000
3,1,1550,3843,20,Suburbs,Single Family,Attached,901000
2,1,1249,5963,95,Historic,Single Family,Attached,1315000
2,1,700,1000,55,Suburbs,Condo,Carport,370000
2,1,1173,1292,21,Suburbs,Townhouse,Attached,735000
3,1,1593,6340,90,Historic,Single Family,Carport,1000000
1,1,500,1000,55,Suburbs,Condo,Carport,252000
4,2,1981,6684,105,Historic,Single Family,Attached,1700000
3,1,1055,2217,120,Historic,Single Family,Carport,820000
2,1,700,1000,55,Suburbs,Condo,Carport,370000
2,1,700,1000,75,Historic,Condo,Carport,484000
3,1,1324,1690,26,Suburbs,Townhouse,Attached,815000
3,1,1550,7815,75,Historic,Single Family,Attached,1150000
1,1,850,1000,20,Suburbs,Condo,Carport,351000
4,1,1819,5586,115,Historic,Single Family,Attached,1150000
2,1,1200,1000,16,Suburbs,Townhouse,Carport,598000
2,1,904,1000,48,Suburbs,Condo,Carport,497000
2,1,1200,1000,20,Suburbs,Condo,Attached,403000
2,1,667,1000,65,Suburbs,Single Family,Carport,440000
3,2,1238,3692,95,Historic,Single Family,Carport,816000
4,1,1900,6049,105,Historic,Single Family,Attached,1585000
4,3,1615,5371,100,Historic,Single Family,Attached,970000
3,1,1507,4144,25,Suburbs,Condo,Attached,851000
4,1,1938,7718,65,Suburbs,Single Family,Attached,1300000
3,2,1550,6049,20,Suburbs,Single Family,Attached,1110000
4,2,2303,5985,68,Suburbs,Single Family,Attached,1235000
4,3,1900,4413,13,Suburbs,Single Family,Attached,1505000
4,2,2120,7212,45,Suburbs,Single Family,Attached,1303000
5,3,2250,7922,20,Suburbs,Single Family,Attached,1336000
3,2,2045,5533,65,Suburbs,Single Family,Attached,880000
3,1,1550,7545,20,Suburbs,Single Family,Carport,980000
3,2,2433,6803,12,Suburbs,Townhouse,Attached,975000
3,1,1550,6792,20,Suburbs,Single Family,Attached,1127000
3,2,1938,6297,75,Historic,Single Family,Carport,990000
5,2,2250,6641,20,Suburbs,Single Family,Attached,1401000
2,1,1200,8342,60,Suburbs,Single Family,Attached,1340000
4,2,1711,7782,55,Suburbs,Single Family,Attached,1225000
5,3,3272,8568,50,Suburbs,Single Family,Attached,1490000
3,2,1550,3391,65,Suburbs,Townhouse,Attached,1250000
4,1,3477,6997,20,Suburbs,Single Family,Attached,1002000
4,2,1900,7858,54,Suburbs,Single Family,Attached,1260000
3,3,1776,4316,60,Suburbs,Single Family,Attached,905000
3,1,1550,8288,20,Suburbs,Single Family,Attached,1400000
4,2,2422,12099,65,Suburbs,Single Family,Carport,1085000
4,3,1900,6501,20,Suburbs,Single Family,Carport,1300000
3,1,1076,3294,40,Suburbs,Condo,Attached,787000
4,1,10000,7879,20,Suburbs,Single Family,Attached,1280000
3,1,1033,6501,65,Suburbs,Single Family,Carport,1075000
2,1,1200,6017,20,Suburbs,Single Family,Attached,890000
4,3,1900,4424,55,Suburbs,Single Family,Attached,1320000
4,2,2637,5113,29,Suburbs,Single Family,Attached,1302000
3,2,7739,7836,60,Suburbs,Single Family,Carport,1050000
4,2,2282,7233,55,Suburbs,Single Family,Attached,1000000
4,2,3229,8008,40,Suburbs,Single Family,Attached,1300000
4,2,1900,7879,20,Suburbs,Single Family,Attached,1250000
4,1,1900,7545,20,Suburbs,Single Family,Carport,976000
3,1,1550,5931,20,Suburbs,Single Family,Carport,980000
3,1,1550,4532,20,Suburbs,Condo,Carport,812500
3,1,1884,6480,50,Suburbs,Single Family,Attached,990000
4,2,1900,5705,20,Suburbs,Single Family,Attached,1244000
4,2,2282,7459,50,Suburbs,Single Family,Attached,1100000
4,2,1900,6641,27,Suburbs,Single Family,Attached,1475000
4,2,1900,5963,20,Suburbs,Single Family,Attached,1140000
2,1,1200,3864,20,Suburbs,Single Family,None,833000
2,1,1507,6361,60,Suburbs,Single Family,Carport,903000
4,2,1900,7965,20,Suburbs,Single Family,Attached,1351000
2,1,1200,6555,20,Suburbs,Single Family,Attached,1060000
3,1,1550,6480,20,Suburbs,Single Family,Attached,1063000
4,3,2723,7115,85,Waterfront,Single Family,Attached,1590000
3,1,1550,7502,20,Waterfront,Single Family,Attached,1390000
3,1,1550,8320,65,Waterfront,Single Family,Attached,1300000
4,2,1195,12325,65,Waterfront,Single Family,Attached,1890000
3,2,1399,2852,25,Waterfront,Condo,Attached,1022500
3,1,1550,7126,20,Waterfront,Single Family,Carport,1250000
3,1,1550,7481,20,Waterfront,Single Family,Carport,1151000
